#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
             294        1.105792        1.436961      0.02235991
             295        1.106126        1.435839      0.02231222
             296        1.106452        1.434726      0.02226458
             297        1.106771        1.433622      0.02221698
             298        1.107082        1.432526      0.02216943
             299        1.107384        1.431439      0.02212194
             300        1.107678         1.43036      0.02207451
             301        1.107964        1.429289      0.02202714
             302        1.108242        1.428226      0.02197984
             303        1.108512         1.42717      0.02193261
             304        1.108773        1.426123      0.02188546
             305        1.109027        1.425083      0.02183838
             306        1.109274        1.424051      0.02179139
             307        1.109514        1.423027      0.02174448
             308        1.109749         1.42201      0.02169766
             309        1.109978           1.421      0.02165092
             310        1.110202        1.419997      0.02160428
             311        1.110422        1.419002      0.02155773
             312        1.110639        1.418014      0.02151128
             313        1.110855        1.417032      0.02146493
             314         1.11107        1.416058      0.02141867
             315        1.111285         1.41509      0.02137252
             316        1.111502         1.41413      0.02132647
             317         1.11172        1.413176      0.02128052
             318        1.111942        1.412228      0.02123467
             319        1.112168        1.411288      0.02118893
             320        1.112399        1.410354      0.02114329
             321        1.112637        1.409426      0.02109775
             322        1.112882        1.408505      0.02105232
             323        1.113137        1.407591        0.021007
             324        1.113401        1.406683      0.02096178
             325        1.113675        1.405781      0.02091666
             326        1.113962        1.404886      0.02087164
             327        1.114259        1.403997      0.02082673
             328        1.114569        1.403115      0.02078192
             329        1.114892        1.402239      0.02073721
             330        1.115227        1.401369       0.0206926
             331        1.115576        1.400506      0.02064809
             332        1.115937        1.399649      0.02060368
             333        1.116312        1.398798      0.02055937
             334        1.116699        1.397953      0.02051515
             335        1.117098        1.397115      0.02047104
             336        1.117508        1.396283      0.02042702
             337        1.117929        1.395457       0.0203831
             338        1.118359        1.394637      0.02033927
             339        1.118797        1.393823      0.02029554
             340        1.119241        1.393016      0.02025191
             341        1.119691        1.392214      0.02020838
             342        1.120145        1.391418      0.02016494
             343        1.120601        1.390629       0.0201216
             344        1.121057        1.389845      0.02007836
             345         1.12151        1.389067      0.02003522
             346        1.121959        1.388295      0.01999218
             347        1.122403        1.387529      0.01994925
             348        1.122837        1.386769      0.01990642
             349        1.123262        1.386014      0.01986369
             350        1.123674        1.385264      0.01982108
             351        1.124071         1.38452      0.01977857
             352        1.124451        1.383781      0.01973618
             353        1.124812        1.383047       0.0196939
             354        1.125151        1.382319      0.01965173
             355        1.125467        1.381595      0.01960969
             356        1.125758        1.380877      0.01956777
             357        1.126021        1.380163      0.01952598
             358        1.126255        1.379454      0.01948431
             359        1.126458        1.378749      0.01944278
             360         1.12663        1.378049      0.01940138
             361        1.126767        1.377353      0.01936012
             362         1.12687        1.376661        0.019319
             363        1.126938        1.375973      0.01927802
             364        1.126969        1.375289       0.0192372
             365        1.126963        1.374608      0.01919652
             366         1.12692        1.373931      0.01915599
             367        1.126839        1.373258      0.01911563
             368        1.126719        1.372588      0.01907542
             369        1.126561        1.371921      0.01903537
             370        1.126365        1.371258      0.01899549
             371        1.126132        1.370597      0.01895578
             372        1.125861        1.369939      0.01891623
             373        1.125553        1.369284      0.01887686
