#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
             233       0.6620003       0.8067497      0.02451425
             234       0.6626122       0.8061337      0.02441723
             235       0.6632227       0.8055256       0.0243209
             236       0.6638329       0.8049252      0.02422525
             237       0.6644439       0.8043324      0.02413029
             238       0.6650571       0.8037472        0.024036
             239       0.6656739       0.8031695      0.02394237
             240       0.6662956       0.8025992       0.0238494
             241       0.6669237       0.8020362      0.02375708
             242       0.6675595       0.8014806      0.02366541
             243       0.6682035       0.8009321      0.02357438
             244       0.6688576       0.8003908      0.02348397
             245       0.6695229       0.7998566       0.0233942
             246       0.6701997       0.7993296      0.02330503
             247       0.6708884       0.7988096      0.02321648
             248       0.6715904       0.7982966      0.02312853
             249       0.6723071       0.7977906      0.02304118
             250       0.6730395       0.7972916      0.02295442
             251       0.6737879       0.7967996      0.02286824
             252       0.6745531       0.7963145      0.02278264
             253       0.6753358       0.7958363      0.02269761
             254       0.6761365        0.795365      0.02261314
             255       0.6769562       0.7949007      0.02252923
             256       0.6777958       0.7944432      0.02244586
             257       0.6786558       0.7939927      0.02236305
             258       0.6795365       0.7935491      0.02228077
             259       0.6804385       0.7931124      0.02219902
             260       0.6813625       0.7926825       0.0221178
             261       0.6823091       0.7922597       0.0220371
             262       0.6832784       0.7918437      0.02195692
             263       0.6842717       0.7914347      0.02187724
             264       0.6852898       0.7910326      0.02179807
             265       0.6863329       0.7906375      0.02171939
             266       0.6874012       0.7902494       0.0216412
             267       0.6884946       0.7898683      0.02156351
             268       0.6896126       0.7894942      0.02148629
             269       0.6907555       0.7891272      0.02140955
             270       0.6919236       0.7887672      0.02133328
             271       0.6931171       0.7884142      0.02125748
             272       0.6943362       0.7880683      0.02118214
             273       0.6955811       0.7877295      0.02110726
             274       0.6968514       0.7873979      0.02103283
             275       0.6981468       0.7870733      0.02095885
             276       0.6994675       0.7867559      0.02088532
             277       0.7008139       0.7864457      0.02081223
             278       0.7021858       0.7861426      0.02073957
             279       0.7035827       0.7858466      0.02066734
             280       0.7050044       0.7855579      0.02059555
             281       0.7064501       0.7852764      0.02052418
             282       0.7079191       0.7850021      0.02045323
             283        0.709411        0.784735       0.0203827
             284       0.7109254       0.7844751      0.02031259
             285       0.7124612       0.7842224      0.02024289
             286        0.714018       0.7839769       0.0201736
             287       0.7155953       0.7837387      0.02010471
             288       0.7171925       0.7835076      0.02003623
             289       0.7188094       0.7832837      0.01996815
             290       0.7204453       0.7830671      0.01990047
             291       0.7220996       0.7828575      0.01983319
             292        0.723771       0.7826552       0.0197663
             293       0.7254577         0.78246       0.0196998
             294       0.7271598       0.7822719      0.01963369
             295       0.7288757       0.7820909      0.01956797
             296       0.7306049       0.7819169      0.01950264
             297       0.7323468         0.78175      0.01943769
             298       0.7340993       0.7815901      0.01937312
             299       0.7358616       0.7814372      0.01930893
             300       0.7376326       0.7812912      0.01924512
             301       0.7394113        0.781152      0.01918168
             302       0.7411969       0.7810197      0.01911862
             303       0.7429889       0.7808942      0.01905594
             304       0.7447856       0.7807755      0.01899362
             305       0.7465853       0.7806634      0.01893168
             306       0.7483868       0.7805579      0.01887011
             307       0.7501895        0.780459       0.0188089
             308        0.751993       0.7803665      0.01874806
             309       0.7537962       0.7802805      0.01868758
             310       0.7555973       0.7802009      0.01862747
             311       0.7573949       0.7801276      0.01856772
             312       0.7591879       0.7800605      0.01850833
             313       0.7609753       0.7799995       0.0184493
             314       0.7627565       0.7799446      0.01839062
             315         0.76453       0.7798956      0.01833231
             316       0.7662951       0.7798526      0.01827434
             317       0.7680504       0.7798154      0.01821673
             318       0.7697949       0.7797839      0.01815947
             319       0.7715275        0.779758      0.01810257
             320       0.7732481       0.7797376      0.01804601
             321       0.7749555       0.7797227       0.0179898
             322       0.7766477       0.7797132      0.01793393
             323       0.7783237       0.7797089      0.01787841
             324       0.7799825       0.7797097      0.01782323
             325       0.7816239       0.7797156      0.01776839
             326       0.7832472       0.7797265      0.01771389
             327       0.7848508       0.7797421      0.01765972
             328       0.7864335       0.7797625      0.01760589
             329       0.7879939       0.7797876       0.0175524
             330        0.789532       0.7798171      0.01749923
             331       0.7910471        0.779851       0.0174464
             332       0.7925376       0.7798892      0.01739389
             333       0.7940022       0.7799316      0.01734171
             334       0.7954403        0.779978      0.01728985
             335       0.7968517       0.7800284      0.01723831
             336       0.7982352       0.7800826      0.01718709
             337       0.7995902       0.7801405      0.01713619
             338       0.8009168       0.7802019       0.0170856
             339       0.8022136       0.7802669      0.01703532
             340       0.8034797       0.7803351      0.01698536
             341       0.8047145       0.7804066       0.0169357
             342       0.8059169       0.7804812      0.01688634
             343       0.8070866       0.7805588      0.01683729
             344       0.8082234       0.7806392      0.01678853
             345       0.8093268       0.7807224      0.01674008
             346       0.8103964       0.7808081      0.01669192
             347       0.8114309       0.7808964      0.01664405
             348       0.8124301        0.780987      0.01659646
             349       0.8133949       0.7810799      0.01654917
             350       0.8143246       0.7811748      0.01650216
             351       0.8152187       0.7812718      0.01645543
             352       0.8160768       0.7813707      0.01640898
             353        0.816898       0.7814714       0.0163628
             354       0.8176823       0.7815736       0.0163169
             355       0.8184301       0.7816775      0.01627127
             356       0.8191407       0.7817827       0.0162259
             357       0.8198141       0.7818892       0.0161808
             358       0.8204503       0.7819969      0.01613596
             359       0.8210496       0.7821057      0.01609138
             360        0.821612       0.7822155      0.01604706
             361       0.8221371       0.7823261      0.01600299
             362        0.822625       0.7824374      0.01595917
             363       0.8230755       0.7825493      0.01591559
             364        0.823489       0.7826618      0.01587227
             365       0.8238662       0.7827747      0.01582918
             366       0.8242068       0.7828879      0.01578634
             367       0.8245105       0.7830013      0.01574373
             368       0.8247778       0.7831148      0.01570136
             369       0.8250099       0.7832284      0.01565922
             370       0.8252077       0.7833418      0.01561731
             371       0.8253708       0.7834551      0.01557562
             372       0.8254989       0.7835681      0.01553416
             373       0.8255928       0.7836808      0.01549293
             374       0.8256535        0.783793      0.01545191
             375       0.8256811       0.7839047      0.01541111
             376        0.825676       0.7840158      0.01537052
             377       0.8256393       0.7841262      0.01533014
             378       0.8255715       0.7842359      0.01528998
