#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
             213        1.040722        1.040239    1.475148e-05
             214        1.040729        1.040241    1.485903e-05
             215        1.040736        1.040243    1.496689e-05
             216        1.040743        1.040246    1.507505e-05
             217         1.04075        1.040248    1.518352e-05
             218        1.040757         1.04025    1.529231e-05
             219        1.040764        1.040253    1.540141e-05
             220        1.040771        1.040255    1.551081e-05
             221        1.040779        1.040257    1.562053e-05
             222        1.040786         1.04026    1.573056e-05
             223        1.040793        1.040262     1.58409e-05
             224        1.040801        1.040265    1.595156e-05
             225        1.040808        1.040267    1.606253e-05
             226        1.040816        1.040269    1.617382e-05
             227        1.040823        1.040272    1.628542e-05
             228        1.040831        1.040274    1.639735e-05
             229        1.040838        1.040277     1.65096e-05
             230        1.040846        1.040279    1.662216e-05
             231        1.040854        1.040282    1.673505e-05
             232        1.040861        1.040284    1.684825e-05
             233        1.040869        1.040287    1.696178e-05
             234        1.040877        1.040289    1.707562e-05
             235        1.040885        1.040292    1.718979e-05
             236        1.040892        1.040294    1.730427e-05
             237          1.0409        1.040297    1.741908e-05
             238        1.040908          1.0403     1.75342e-05
             239        1.040916        1.040302    1.764965e-05
             240        1.040924        1.040305    1.776541e-05
             241        1.040932        1.040307    1.788149e-05
             242         1.04094         1.04031     1.79979e-05
             243        1.040948        1.040313    1.811463e-05
             244        1.040957        1.040315    1.823167e-05
             245        1.040965        1.040318    1.834903e-05
             246        1.040973         1.04032    1.846671e-05
             247        1.040981        1.040323     1.85847e-05
             248         1.04099        1.040326    1.870302e-05
             249        1.040998        1.040329    1.882165e-05
             250        1.041006        1.040331     1.89406e-05
             251        1.041015        1.040334    1.905987e-05
             252        1.041023        1.040337    1.917945e-05
             253        1.041032        1.040339    1.929935e-05
             254         1.04104        1.040342    1.941957e-05
             255        1.041049        1.040345     1.95401e-05
             256        1.041057        1.040348    1.966096e-05
             257        1.041066        1.040351    1.978213e-05
             258        1.041075        1.040353    1.990362e-05
             259        1.041084        1.040356    2.002543e-05
             260        1.041092        1.040359    2.014756e-05
