#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
             254        1.527965         1.52812    3.438036e-06
             255        1.527963        1.528119     3.47948e-06
             256        1.527963        1.528119    3.519372e-06
             257        1.527958        1.528118    3.560977e-06
             258        1.527955        1.528117     3.60263e-06
             259        1.527955        1.528117    3.642745e-06
             260        1.527955        1.528116    3.681397e-06
             261        1.527953        1.528116    3.720167e-06
             262        1.527953        1.528115    3.757546e-06
             263         1.52795        1.528114    3.795069e-06
             264         1.52795        1.528114    3.831264e-06
             265        1.527945        1.528113    3.869077e-06
             266        1.527941        1.528112    3.908472e-06
             267        1.527941        1.528112    3.946482e-06
             268        1.527936        1.528111    3.986034e-06
             269        1.527929         1.52811    4.028562e-06
             270        1.527926         1.52811    4.071053e-06
             271        1.527926        1.528109    4.112057e-06
             272        1.527921        1.528108    4.154493e-06
             273        1.527921        1.528108    4.195458e-06
             274        1.527921        1.528107    4.235019e-06
             275        1.527919        1.528106    4.274602e-06
             276        1.527919        1.528106    4.312847e-06
             277        1.527919        1.528105     4.34981e-06
             278        1.527919        1.528104    4.385545e-06
             279        1.527919        1.528104    4.420101e-06
             280        1.527916        1.528103    4.454787e-06
             281        1.527914        1.528102    4.489597e-06
             282        1.527911        1.528102    4.524524e-06
             283        1.527911        1.528101    4.558319e-06
             284        1.527911          1.5281    4.591026e-06
             285        1.527906          1.5281      4.6251e-06
             286        1.527906        1.528099    4.658086e-06
             287        1.527906        1.528098    4.690023e-06
             288        1.527906        1.528098    4.720951e-06
             289        1.527904        1.528097    4.752055e-06
             290        1.527901        1.528096    4.783327e-06
             291        1.527899        1.528096    4.814761e-06
             292        1.527896        1.528095    4.846349e-06
             293        1.527896        1.528094    4.876958e-06
             294        1.527892        1.528094    4.908853e-06
             295        1.527891        1.528093    4.939766e-06
             296        1.527884        1.528092    4.973066e-06
             297        1.527877        1.528091     5.00874e-06
             298        1.527875        1.528091    5.044456e-06
             299        1.527872         1.52809    5.080209e-06
             300        1.527867        1.528089     5.11713e-06
             301        1.527863        1.528088    5.155196e-06
             302         1.52786        1.528088    5.193235e-06
             303         1.52786        1.528087    5.230118e-06
             304        1.527858        1.528086    5.266995e-06
             305        1.527853        1.528085    5.304975e-06
             306        1.527853        1.528085    5.341814e-06
             307         1.52785        1.528084    5.378638e-06
             308         1.52785        1.528083    5.414367e-06
             309         1.52785        1.528082    5.449037e-06
             310        1.527848        1.528082    5.483734e-06
             311        1.527848        1.528081    5.517412e-06
             312        1.527845         1.52808    5.551132e-06
             313        1.527843        1.528079    5.584889e-06
             314        1.527841        1.528079    5.618682e-06
             315         1.52784        1.528078    5.651497e-06
             316        1.527836        1.528077    5.685364e-06
             317        1.527833        1.528076    5.719257e-06
             318        1.527833        1.528076    5.752179e-06
             319        1.527833        1.528075     5.78416e-06
             320        1.527828        1.528074     5.81717e-06
             321        1.527828        1.528073    5.849245e-06
             322        1.527828        1.528073    5.880413e-06
             323        1.527828        1.528072    5.910702e-06
             324        1.527821        1.528071    5.942954e-06
             325        1.527821         1.52807    5.974303e-06
             326        1.527821        1.528069    6.004777e-06
             327        1.527818        1.528069    6.035319e-06
             328        1.527818        1.528068    6.065013e-06
             329        1.527816        1.528067    6.094785e-06
             330        1.527813        1.528066     6.12463e-06
             331        1.527809        1.528066    6.155447e-06
             332        1.527806        1.528065    6.186315e-06
             333        1.527806        1.528064     6.21634e-06
             334        1.527806        1.528063    6.245545e-06
             335        1.527799        1.528062    6.276584e-06
             336        1.527796        1.528062    6.307662e-06
             337        1.527794        1.528061    6.338776e-06
             338        1.527794         1.52806    6.369052e-06
             339        1.527794        1.528059    6.398514e-06
             340        1.527794        1.528059    6.427186e-06
             341        1.527789        1.528058    6.456774e-06
             342        1.527787        1.528057    6.486415e-06
             343        1.527786        1.528056    6.515271e-06
             344        1.527786        1.528055    6.543363e-06
             345        1.527789        1.528055    6.569903e-06
             346        1.527786        1.528054    6.596541e-06
             347        1.527784        1.528053    6.623274e-06
             348        1.527781        1.528052    6.650097e-06
             349        1.527777        1.528051    6.677805e-06
             350        1.527774        1.528051    6.705585e-06
             351        1.527774         1.52805    6.732642e-06
             352        1.527774        1.528049    6.758995e-06
             353        1.527772        1.528048    6.785435e-06
             354        1.527771        1.528048     6.81119e-06
             355        1.527774        1.528047    6.835525e-06
             356        1.527774        1.528046    6.859229e-06
             357        1.527771        1.528045    6.883055e-06
             358        1.527771        1.528044    6.906265e-06
             359        1.527771        1.528044    6.928874e-06
             360        1.527771        1.528043    6.950897e-06
             361        1.527769        1.528042    6.973061e-06
             362        1.527764        1.528041    6.996077e-06
             363        1.527761        1.528041    7.019217e-06
             364        1.527759         1.52804    7.042477e-06
             365        1.527759        1.528039    7.065145e-06
             366        1.527752        1.528038    7.089357e-06
             367        1.527752        1.528038    7.112959e-06
