#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
             262         1.56166         1.56055     3.05892e-05
             263         1.56168         1.56055     3.07738e-05
             264         1.56169         1.56056     3.09589e-05
             265         1.56171         1.56056     3.11444e-05
             266         1.56172         1.56056     3.13305e-05
             267         1.56173         1.56057      3.1517e-05
             268         1.56175         1.56057      3.1704e-05
             269         1.56176         1.56058     3.18915e-05
             270         1.56177         1.56058     3.20794e-05
             271         1.56179         1.56059     3.22678e-05
             272          1.5618         1.56059     3.24567e-05
             273         1.56182          1.5606     3.26461e-05
             274         1.56183          1.5606      3.2836e-05
             275         1.56184          1.5606     3.30263e-05
             276         1.56186         1.56061     3.32172e-05
             277         1.56187         1.56061     3.34085e-05
             278         1.56189         1.56062     3.36002e-05
             279          1.5619         1.56062     3.37925e-05
             280         1.56191         1.56063     3.39852e-05
             281         1.56193         1.56063     3.41784e-05
             282         1.56194         1.56064     3.43721e-05
             283         1.56196         1.56064     3.45662e-05
             284         1.56197         1.56065     3.47608e-05
             285         1.56199         1.56065     3.49559e-05
             286           1.562         1.56066     3.51515e-05
             287         1.56202         1.56066     3.53475e-05
             288         1.56203         1.56066      3.5544e-05
             289         1.56205         1.56067      3.5741e-05
             290         1.56206         1.56067     3.59384e-05
             291         1.56208         1.56068     3.61364e-05
             292         1.56209         1.56068     3.63348e-05
             293         1.56211         1.56069     3.65336e-05
             294         1.56212         1.56069      3.6733e-05
             295         1.56214          1.5607     3.69328e-05
             296         1.56215          1.5607      3.7133e-05
             297         1.56217         1.56071     3.73338e-05
             298         1.56218         1.56071      3.7535e-05
             299          1.5622         1.56072     3.77367e-05
             300         1.56221         1.56072     3.79389e-05
             301         1.56223         1.56073     3.81416e-05
             302         1.56225         1.56073     3.83447e-05
             303         1.56226         1.56074     3.85484e-05
             304         1.56228         1.56074     3.87525e-05
             305         1.56229         1.56075     3.89571e-05
             306         1.56231         1.56075     3.91621e-05
             307         1.56233         1.56076     3.93677e-05
             308         1.56234         1.56076     3.95737e-05
             309         1.56236         1.56077     3.97802e-05
             310         1.56237         1.56077     3.99872e-05
             311         1.56239         1.56078     4.01947e-05
             312         1.56241         1.56078     4.04027e-05
             313         1.56242         1.56079     4.06111e-05
             314         1.56244          1.5608       4.082e-05
             315         1.56246          1.5608     4.10294e-05
             316         1.56247         1.56081     4.12393e-05
             317         1.56249         1.56081     4.14497e-05
             318         1.56251         1.56082     4.16605e-05
             319         1.56252         1.56082     4.18719e-05
             320         1.56254         1.56083     4.20837e-05
             321         1.56256         1.56083      4.2296e-05
             322         1.56257         1.56084     4.25087e-05
             323         1.56259         1.56084      4.2722e-05
             324         1.56261         1.56085     4.29357e-05
             325         1.56262         1.56085       4.315e-05
             326         1.56264         1.56086     4.33647e-05
             327         1.56266         1.56087     4.35798e-05
             328         1.56268         1.56087     4.37955e-05
             329         1.56269         1.56088     4.40117e-05
             330         1.56271         1.56088     4.42283e-05
             331         1.56273         1.56089     4.44454e-05
             332         1.56275         1.56089     4.46631e-05
             333         1.56276          1.5609     4.48812e-05
             334         1.56278          1.5609     4.50997e-05
