#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
             198        -3.35116       -3.345919    0.0007931562
             199       -3.351693       -3.345948     0.000789701
             200       -3.351915       -3.345978    0.0007863158
             201       -3.352278       -3.346009    0.0007830283
             202       -3.352481       -3.346041    0.0007798071
             203       -3.352825       -3.346075    0.0007766813
             204       -3.353158       -3.346109    0.0007736498
             205        -3.35318       -3.346144    0.0007706443
             206       -3.353342       -3.346179     0.000767695
             207       -3.353644       -3.346215    0.0007648328
             208       -3.353935       -3.346252    0.0007620558
             209       -3.353913       -3.346289    0.0007592907
             210       -3.353881       -3.346325    0.0007565354
             211       -3.354141       -3.346362    0.0007538563
             212       -3.354239       -3.346399    0.0007512156
             213       -3.354629       -3.346438    0.0007486818
             214       -3.354405       -3.346475    0.0007461083
             215       -3.354623       -3.346513    0.0007435999
             216       -3.354681       -3.346551    0.0007411182
             217        -3.35488       -3.346589    0.0007386963
             218        -3.35492       -3.346627    0.0007362956
             219       -3.355101       -3.346666    0.0007339495
             220       -3.355426       -3.346706    0.0007316927
             221       -3.355743       -3.346747    0.0007295237
             222       -3.355751       -3.346787    0.0007273643
             223       -3.355752       -3.346827    0.0007252126
             224       -3.355897       -3.346868    0.0007231046
             225       -3.355885       -3.346908    0.0007210004
             226       -3.356018       -3.346948     0.000718936
             227       -3.355994       -3.346988    0.0007168725
             228       -3.355967       -3.347028    0.0007148091
             229       -3.355934       -3.347066     0.000712745
             230       -3.355747       -3.347104    0.0007106446
             231       -3.355556       -3.347141    0.0007085094
             232       -3.355512       -3.347177    0.0007063737
             233       -3.355769       -3.347214    0.0007043039
             234       -3.355721        -3.34725    0.0007022318
             235       -3.355974       -3.347287    0.0007002241
             236       -3.355772       -3.347323    0.0006981793
             237       -3.356172       -3.347361     0.000696231
             238       -3.356118       -3.347397    0.0006942773
             239       -3.355912       -3.347433    0.0006922859
             240       -3.355707       -3.347467    0.0006902593
             241       -3.355653       -3.347501    0.0006882303
             242       -3.355749       -3.347535    0.0006862298
             243       -3.355393       -3.347568    0.0006841673
             244        -3.35534         -3.3476    0.0006821044
             245       -3.355438       -3.347632    0.0006800702
             246       -3.355085       -3.347662    0.0006779802
             247       -3.355489       -3.347694    0.0006759754
             248       -3.355592       -3.347725    0.0006739996
             249       -3.355697       -3.347757    0.0006720527
             250       -3.355803        -3.34779    0.0006701346
             251        -3.35591       -3.347822    0.0006682453
             252        -3.35602       -3.347855    0.0006663848
             253       -3.356131       -3.347887    0.0006645534
             254       -3.355791       -3.347918    0.0006626651
             255       -3.355453       -3.347948    0.0006607249
             256       -3.355722       -3.347978    0.0006588414
             257        -3.35569       -3.348008    0.0006569607
             258       -3.355358       -3.348037    0.0006550318
             259       -3.355029       -3.348064    0.0006530588
             260       -3.355306       -3.348092    0.0006511409
             261       -3.355283       -3.348119    0.0006492287
             262       -3.355261       -3.348146    0.0006473227
             263       -3.355544       -3.348175    0.0006454722
             264       -3.355829       -3.348204    0.0006436781
             265       -3.355662       -3.348232    0.0006418642
             266       -3.355496       -3.348259    0.0006400318
             267       -3.355332       -3.348286    0.0006381826
             268       -3.355471       -3.348312    0.0006363643
             269        -3.35531       -3.348338    0.0006345301
             270       -3.355149       -3.348364    0.0006326813
             271        -3.35499       -3.348388    0.0006308189
             272       -3.354529       -3.348411    0.0006289036
             273       -3.354673       -3.348434    0.0006270182
             274        -3.35512       -3.348458    0.0006252045
             275       -3.354812       -3.348481    0.0006233578
             276       -3.354655       -3.348503    0.0006215005
             277       -3.354348       -3.348525    0.0006196148
             278       -3.354493       -3.348546    0.0006177579
             279        -3.35464       -3.348568    0.0006159297
             280       -3.354786        -3.34859    0.0006141302
             281       -3.354781       -3.348612    0.0006123397
             282       -3.354775       -3.348634    0.0006105581
             283       -3.354768       -3.348656    0.0006087853
             284       -3.354762       -3.348677    0.0006070213
             285       -3.354756       -3.348698     0.000605266
             286       -3.355051       -3.348721    0.0006035571
             287       -3.355044       -3.348743    0.0006018561
             288       -3.354734       -3.348763    0.0006001258
             289       -3.354726       -3.348784    0.0005984038
             290       -3.354566       -3.348804    0.0005966723
             291       -3.354557       -3.348824    0.0005949493
             292       -3.354395       -3.348843    0.0005932177
             293       -3.354687       -3.348863    0.0005915283
             294       -3.354827       -3.348883    0.0005898641
             295       -3.354514       -3.348902    0.0005881733
             296         -3.3542        -3.34892    0.0005864584
             297       -3.354339       -3.348938    0.0005847676
             298       -3.354478       -3.348957    0.0005831006
             299       -3.354314       -3.348975    0.0005814257
             300       -3.354604       -3.348994    0.0005797903
             301       -3.354591       -3.349012    0.0005781622
             302       -3.354579       -3.349031    0.0005765416
             303       -3.354567       -3.349049    0.0005749282
             304       -3.354556       -3.349067    0.0005733224
             305       -3.354696       -3.349085    0.0005717396
             306       -3.354535       -3.349103    0.0005701485
             307       -3.354677       -3.349121    0.0005685803
             308       -3.354367       -3.349138    0.0005669893
             309        -3.35436       -3.349155    0.0005654061
             310       -3.354505       -3.349173    0.0005638455
             311       -3.354651        -3.34919    0.0005623077
             312       -3.354196       -3.349206    0.0005607343
             313       -3.354195       -3.349222    0.0005591692
             314       -3.354346       -3.349239    0.0005576265
