#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
             268       -5.452679       -5.453174     0.001293042
             269       -5.452394       -5.453171     0.001288239
             270       -5.452108       -5.453167     0.001283473
             271        -5.45247       -5.453164      0.00127874
             272       -5.452509       -5.453162     0.001274041
             273       -5.452547        -5.45316     0.001269376
             274       -5.452261       -5.453157     0.001264748
             275       -5.452623       -5.453155      0.00126015
             276       -5.452661       -5.453153     0.001255586
             277       -5.453023       -5.453152     0.001251053
             278       -5.453383       -5.453153     0.001246553
             279       -5.454068       -5.453156     0.001242089
             280       -5.454104        -5.45316     0.001237658
             281       -5.454139       -5.453163     0.001233258
             282       -5.453527       -5.453165     0.001228886
             283        -5.45356       -5.453166     0.001224544
             284       -5.453269       -5.453166     0.001220232
             285       -5.453624       -5.453168     0.001215952
             286       -5.453331       -5.453169     0.001211701
             287       -5.454009       -5.453171     0.001207482
             288       -5.454362       -5.453176     0.001203297
             289       -5.455037       -5.453182      0.00119915
             290       -5.455713       -5.453191     0.001195047
             291       -5.455738         -5.4532     0.001190972
             292       -5.456085       -5.453209     0.001186935
             293       -5.455137       -5.453216     0.001182902
             294       -5.455158       -5.453223     0.001178897
             295       -5.455178       -5.453229     0.001174919
             296       -5.454874       -5.453235     0.001170963
             297        -5.45489        -5.45324     0.001167034
             298       -5.454257       -5.453244     0.001163122
             299       -5.454271       -5.453247     0.001159237
             300       -5.454282       -5.453251     0.001155378
             301       -5.453645       -5.453252     0.001151541
             302       -5.453654       -5.453253     0.001147728
             303       -5.453661       -5.453255     0.001143941
             304       -5.453342       -5.453255     0.001140178
             305       -5.453345       -5.453255      0.00113644
             306       -5.453024       -5.453254     0.001132727
             307         -5.4527       -5.453253     0.001129038
             308         -5.4527       -5.453251     0.001125374
             309       -5.452373       -5.453248     0.001121736
             310       -5.452692       -5.453246     0.001118119
             311       -5.453009       -5.453245     0.001114524
             312       -5.453001       -5.453245     0.001110952
             313       -5.452667       -5.453243     0.001107404
             314        -5.45298       -5.453242     0.001103877
             315       -5.452319       -5.453239     0.001100377
             316       -5.452304       -5.453236     0.001096899
             317       -5.451641       -5.453231      0.00109345
             318       -5.451623       -5.453226     0.001090023
             319        -5.45128        -5.45322     0.001086623
             320       -5.451261       -5.453214     0.001083245
             321       -5.450914       -5.453207     0.001079894
             322        -5.45089       -5.453199     0.001076564
             323       -5.451836       -5.453195     0.001073239
             324       -5.451162       -5.453189     0.001069945
             325       -5.451135       -5.453183     0.001066672
             326       -5.451753       -5.453178     0.001063409
             327       -5.452046       -5.453175     0.001060162
             328       -5.452013       -5.453171     0.001056936
             329       -5.452302       -5.453169     0.001053727
             330        -5.45162       -5.453164     0.001050544
             331       -5.451583       -5.453159     0.001047381
             332       -5.451544       -5.453154     0.001044238
             333       -5.451505       -5.453149     0.001041114
             334       -5.450817       -5.453142      0.00103802
             335       -5.450451       -5.453134     0.001034952
             336       -5.449761       -5.453124     0.001031921
             337       -5.450042       -5.453115     0.001028899
             338       -5.449997       -5.453106     0.001025897
             339       -5.449628       -5.453096     0.001022922
             340       -5.449257       -5.453084     0.001019975
             341       -5.449209       -5.453073     0.001017048
             342       -5.448512        -5.45306     0.001014161
             343       -5.448139       -5.453045     0.001011306
             344       -5.447766        -5.45303     0.001008482
             345       -5.447715       -5.453015     0.001005677
             346       -5.447662       -5.452999     0.001002889
             347       -5.447933       -5.452984     0.001000105
             348       -5.447234       -5.452968    0.0009973681
             349       -5.447181       -5.452951    0.0009946482
             350        -5.44648       -5.452933    0.0009919782
             351       -5.446103       -5.452913    0.0009893429
             352       -5.446371       -5.452895    0.0009867068
             353       -5.446315       -5.452876    0.0009840876
