#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
             257       0.0520222      0.05198756    9.586102e-07
             258      0.05202262       0.0519877    9.644789e-07
             259      0.05202305      0.05198783    9.703643e-07
             260      0.05202347      0.05198797    9.762662e-07
             261       0.0520239      0.05198811    9.821835e-07
             262      0.05202433      0.05198824    9.881172e-07
             263      0.05202476      0.05198838    9.940662e-07
             264      0.05202519      0.05198852    1.000032e-06
             265      0.05202563      0.05198866    1.006011e-06
             266      0.05202606       0.0519888    1.012005e-06
             267       0.0520265      0.05198894    1.018015e-06
             268      0.05202694      0.05198909    1.024039e-06
             269      0.05202737      0.05198923    1.030077e-06
             270      0.05202782      0.05198937     1.03613e-06
             271      0.05202827      0.05198952    1.042199e-06
             272      0.05202871      0.05198966    1.048283e-06
             273      0.05202916       0.0519898    1.054384e-06
             274      0.05202962      0.05198995    1.060501e-06
             275      0.05203007       0.0519901    1.066634e-06
             276      0.05203053      0.05199024    1.072783e-06
             277      0.05203099      0.05199039    1.078949e-06
             278      0.05203145      0.05199054    1.085131e-06
             279      0.05203191      0.05199068     1.09133e-06
             280      0.05203238      0.05199083    1.097543e-06
             281      0.05203284      0.05199098    1.103772e-06
             282      0.05203331      0.05199113    1.110017e-06
             283      0.05203378      0.05199128    1.116277e-06
             284      0.05203425      0.05199144    1.122554e-06
             285      0.05203473      0.05199159    1.128845e-06
             286       0.0520352      0.05199174    1.135152e-06
             287      0.05203568      0.05199189    1.141476e-06
             288      0.05203616      0.05199205    1.147816e-06
             289      0.05203664       0.0519922     1.15417e-06
             290      0.05203713      0.05199236     1.16054e-06
             291      0.05203761      0.05199251    1.166926e-06
             292       0.0520381      0.05199267    1.173326e-06
             293      0.05203859      0.05199282    1.179742e-06
             294      0.05203908      0.05199298    1.186173e-06
             295      0.05203957      0.05199314     1.19262e-06
             296      0.05204006       0.0519933     1.19908e-06
             297      0.05204055      0.05199346    1.205553e-06
             298      0.05204105      0.05199362    1.212042e-06
             299      0.05204156      0.05199378    1.218547e-06
             300      0.05204206      0.05199394    1.225065e-06
             301      0.05204256       0.0519941    1.231599e-06
             302      0.05204307      0.05199426    1.238148e-06
             303      0.05204358      0.05199442    1.244713e-06
             304      0.05204409      0.05199459    1.251294e-06
             305       0.0520446      0.05199475     1.25789e-06
             306      0.05204512      0.05199492    1.264503e-06
             307      0.05204564      0.05199508    1.271131e-06
             308      0.05204616      0.05199525    1.277775e-06
             309      0.05204668      0.05199541    1.284436e-06
             310      0.05204721      0.05199558    1.291113e-06
             311      0.05204773      0.05199575    1.297806e-06
             312      0.05204826      0.05199592    1.304515e-06
             313      0.05204879      0.05199609    1.311239e-06
             314      0.05204932      0.05199626    1.317979e-06
             315      0.05204986      0.05199643    1.324735e-06
             316      0.05205039       0.0519966    1.331506e-06
             317      0.05205093      0.05199677    1.338293e-06
             318      0.05205147      0.05199694    1.345096e-06
             319      0.05205202      0.05199711    1.351916e-06
             320      0.05205256      0.05199729     1.35875e-06
             321      0.05205311      0.05199746    1.365601e-06
             322      0.05205366      0.05199763    1.372468e-06
             323      0.05205421      0.05199781    1.379352e-06
             324      0.05205476      0.05199799    1.386249e-06
             325      0.05205532      0.05199816    1.393163e-06
             326      0.05205588      0.05199834    1.400094e-06
             327      0.05205644      0.05199852     1.40704e-06
             328        0.052057      0.05199869    1.414002e-06
             329      0.05205756      0.05199887    1.420981e-06
             330      0.05205813      0.05199905    1.427975e-06
             331      0.05205869      0.05199923    1.434983e-06
             332      0.05205926      0.05199941    1.442008e-06
             333      0.05205984       0.0519996    1.449049e-06
             334      0.05206041      0.05199978    1.456106e-06
             335      0.05206099      0.05199996    1.463178e-06
             336      0.05206156      0.05200014    1.470265e-06
             337      0.05206214      0.05200033    1.477368e-06
             338      0.05206273      0.05200051    1.484488e-06
             339      0.05206332       0.0520007    1.491624e-06
             340      0.05206391      0.05200088    1.498777e-06
             341      0.05206449      0.05200107    1.505945e-06
             342      0.05206508      0.05200126    1.513129e-06
             343      0.05206568      0.05200145    1.520329e-06
             344      0.05206628      0.05200163    1.527546e-06
             345      0.05206688      0.05200182    1.534781e-06
             346      0.05206748      0.05200201    1.542031e-06
             347      0.05206808       0.0520022    1.549298e-06
             348      0.05206869      0.05200239     1.55658e-06
             349      0.05206929      0.05200259    1.563878e-06
             350       0.0520699      0.05200278    1.571192e-06
             351      0.05207051      0.05200297    1.578523e-06
             352      0.05207113      0.05200316     1.58587e-06
             353      0.05207175      0.05200336    1.593234e-06
             354      0.05207237      0.05200355    1.600614e-06
             355      0.05207299      0.05200375    1.608012e-06
             356      0.05207362      0.05200395    1.615427e-06
             357      0.05207424      0.05200414    1.622858e-06
             358      0.05207487      0.05200434    1.630305e-06
             359       0.0520755      0.05200454     1.63777e-06
             360      0.05207613      0.05200474    1.645251e-06
             361      0.05207677      0.05200494    1.652749e-06
             362       0.0520774      0.05200514    1.660262e-06
             363      0.05207804      0.05200534    1.667791e-06
