#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
             319       0.9323193        0.941001      0.01848495
             320       0.9340738       0.9409793       0.0184272
             321       0.9358215       0.9409633       0.0183698
             322       0.9375469       0.9409527      0.01831275
             323       0.9392361       0.9409473      0.01825606
             324       0.9409403       0.9409473      0.01819971
             325       0.9426137       0.9409525      0.01814371
             326       0.9442554       0.9409626      0.01808806
             327       0.9458834       0.9409776      0.01803275
             328       0.9474965       0.9409975      0.01797778
             329       0.9490803       0.9410221      0.01792316
             330       0.9506607       0.9410513      0.01786887
             331       0.9522046        0.941085      0.01781492
             332       0.9537233        0.941123       0.0177613
             333       0.9552153       0.9411654      0.01770801
             334       0.9566934       0.9412119      0.01765505
             335       0.9581375       0.9412624      0.01760242
             336       0.9595596       0.9413168      0.01755012
             337       0.9609328        0.941375      0.01749814
             338       0.9622835       0.9414369      0.01744648
             339       0.9636104       0.9415023      0.01739514
             340       0.9649057       0.9415711      0.01734411
             341       0.9661626       0.9416433       0.0172934
             342       0.9673993       0.9417186        0.017243
             343       0.9685959       0.9417969       0.0171929
             344       0.9697589       0.9418782      0.01714312
             345       0.9708812       0.9419623      0.01709363
             346       0.9719689        0.942049      0.01704445
             347       0.9730142       0.9421382      0.01699556
             348       0.9740429       0.9422299      0.01694697
             349       0.9750234       0.9423239      0.01689867
             350       0.9759811       0.9424201      0.01685067
             351       0.9768959       0.9425183      0.01680294
             352       0.9777609       0.9426184      0.01675551
             353       0.9785946       0.9427203      0.01670835
             354        0.979384       0.9428239      0.01666147
             355       0.9801426        0.942929      0.01661487
             356       0.9808568       0.9430355      0.01656854
             357       0.9815328       0.9431434      0.01652248
             358       0.9821513       0.9432523      0.01647669
             359       0.9827516       0.9433624      0.01643116
             360       0.9833404       0.9434734      0.01638589
             361       0.9838649       0.9435853      0.01634089
             362       0.9843579       0.9436979      0.01629613
             363       0.9847997       0.9438112      0.01625163
             364       0.9852232       0.9439249      0.01620738
             365       0.9856032       0.9440391      0.01616338
             366       0.9859458       0.9441536      0.01611963
             367       0.9862442       0.9442683      0.01607611
             368       0.9865118       0.9443831      0.01603284
             369       0.9867436       0.9444979       0.0159898
             370       0.9869534       0.9446126      0.01594699
             371       0.9871148       0.9447272      0.01590442
             372       0.9872536       0.9448415      0.01586208
             373       0.9873378       0.9449555      0.01581996
             374       0.9873882       0.9450689      0.01577807
             375        0.987418       0.9451818       0.0157364
             376       0.9874012       0.9452941      0.01569495
             377       0.9873721       0.9454057      0.01565371
             378       0.9872916       0.9455165      0.01561269
             379       0.9871791       0.9456265      0.01557189
             380       0.9870412       0.9457355      0.01553129
             381       0.9868794       0.9458434       0.0154909
             382       0.9866809       0.9459504      0.01545072
             383       0.9864709       0.9460562      0.01541074
             384       0.9862183       0.9461607      0.01537096
             385       0.9859304        0.946264      0.01533138
             386       0.9856077        0.946366        0.015292
             387       0.9852708       0.9464665      0.01525282
             388       0.9849001       0.9465655      0.01521383
             389       0.9845082       0.9466631      0.01517503
             390       0.9840822        0.946759      0.01513642
             391       0.9836422       0.9468534      0.01509801
             392       0.9831565        0.946946      0.01505978
             393       0.9826585       0.9470368      0.01502173
             394        0.982122       0.9471259      0.01498387
             395       0.9815865       0.9472131      0.01494619
             396       0.9810141       0.9472985      0.01490869
             397       0.9803984       0.9473819      0.01487137
             398       0.9797724       0.9474633      0.01483423
             399       0.9791363       0.9475426      0.01479726
             400       0.9784518       0.9476199      0.01476047
             401       0.9777591       0.9476951      0.01472385
             402       0.9770384       0.9477681       0.0146874
             403        0.976296       0.9478388      0.01465113
             404       0.9755455       0.9479074      0.01461503
             405       0.9747548       0.9479737      0.01457909
             406       0.9739569       0.9480377      0.01454332
             407       0.9731391       0.9480994      0.01450772
             408       0.9723075       0.9481587      0.01447228
             409       0.9714367       0.9482156      0.01443701
             410       0.9705538       0.9482701       0.0144019
