#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
             263       0.8881171        1.164255      0.01730426
             264       0.8885083         1.16321       0.0172702
             265       0.8888977        1.162175      0.01723603
             266       0.8892788        1.161149      0.01720174
             267       0.8896519        1.160132      0.01716734
             268       0.8900136        1.159124      0.01713284
             269       0.8903738        1.158125      0.01709826
             270       0.8907285        1.157135      0.01706359
             271       0.8910784        1.156153      0.01702884
             272       0.8914283         1.15518      0.01699403
             273       0.8917651        1.154215      0.01695915
             274       0.8920939        1.153258      0.01692421
             275       0.8924304         1.15231      0.01688922
             276       0.8927615        1.151369      0.01685419
             277       0.8930918        1.150437      0.01681912
             278       0.8934124        1.149513      0.01678401
             279         0.89373        1.148596      0.01674887
             280        0.894045        1.147687      0.01671371
             281       0.8943597        1.146785      0.01667853
             282       0.8946715        1.145891      0.01664333
             283       0.8949799        1.145004      0.01660811
             284        0.895285        1.144125       0.0165729
             285       0.8955866        1.143253      0.01653767
             286       0.8958803        1.142388      0.01650245
             287       0.8961748         1.14153      0.01646724
             288         0.89647        1.140679      0.01643203
             289       0.8967569        1.139835      0.01639683
             290       0.8970417        1.138998      0.01636165
             291       0.8973195        1.138168      0.01632649
             292       0.8975947        1.137344      0.01629135
             293        0.897858        1.136526      0.01625624
             294       0.8981181        1.135715      0.01622116
             295       0.8983791        1.134911      0.01618611
             296       0.8986342        1.134113       0.0161511
             297       0.8988766        1.133321      0.01611613
             298       0.8991129        1.132535       0.0160812
             299       0.8993473        1.131755      0.01604632
             300       0.8995686        1.130981      0.01601148
             301       0.8997881        1.130213       0.0159767
             302       0.9000011        1.129451      0.01594197
             303       0.9002076        1.128694       0.0159073
             304        0.900408        1.127943      0.01587269
             305       0.9006003        1.127198      0.01583814
             306       0.9007915        1.126458      0.01580365
             307        0.900973        1.125723      0.01576923
             308       0.9011565        1.124994      0.01573488
             309       0.9013313         1.12427       0.0157006
             310       0.9015001        1.123552      0.01566639
             311       0.9016658        1.122838      0.01563225
             312       0.9018379         1.12213      0.01559819
             313        0.902002        1.121427       0.0155642
             314        0.902163        1.120728      0.01553029
             315        0.902324        1.120035      0.01549646
             316       0.9024857        1.119347       0.0154627
             317        0.902651        1.118663      0.01542903
             318       0.9028208        1.117984      0.01539543
             319       0.9029915         1.11731      0.01536191
             320       0.9031659        1.116641      0.01532848
             321       0.9033405        1.115977      0.01529512
             322       0.9035207        1.115317      0.01526185
             323       0.9037075        1.114662      0.01522865
             324       0.9039013        1.114011      0.01519553
             325       0.9041076        1.113365       0.0151625
             326       0.9043223        1.112724      0.01512954
             327       0.9045433        1.112087      0.01509666
             328       0.9047711        1.111455      0.01506386
             329       0.9050128        1.110828      0.01503114
             330       0.9052618        1.110205      0.01499849
             331        0.905525        1.109587      0.01496592
             332        0.905798        1.108973      0.01493342
             333       0.9060742        1.108363        0.014901
             334       0.9063663        1.107759      0.01486866
             335       0.9066582        1.107158      0.01483639
             336       0.9069631        1.106563      0.01480419
             337       0.9072781        1.105971      0.01477207
             338          0.9076        1.105384      0.01474002
             339       0.9079234        1.104802      0.01470804
             340       0.9082632        1.104224      0.01467614
             341       0.9086047         1.10365      0.01464431
             342       0.9089448        1.103081      0.01461255
