#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
             310      -0.0345259      -0.0326927     4.53934e-05
             311      -0.0345423      -0.0326987     4.56353e-05
             312       -0.034561      -0.0327046     4.58778e-05
             313      -0.0345799      -0.0327106     4.61207e-05
             314      -0.0345988      -0.0327167     4.63642e-05
             315      -0.0346154      -0.0327227     4.66072e-05
             316      -0.0346368      -0.0327287     4.68517e-05
             317      -0.0346559      -0.0327348     4.70967e-05
             318      -0.0346727      -0.0327409     4.73412e-05
             319      -0.0346896       -0.032747     4.75853e-05
             320      -0.0347113      -0.0327532     4.78308e-05
             321      -0.0347283      -0.0327593      4.8076e-05
             322      -0.0347453      -0.0327655     4.83207e-05
             323      -0.0347624      -0.0327717      4.8565e-05
             324      -0.0347867      -0.0327779     4.88117e-05
             325       -0.034804      -0.0327841      4.9058e-05
             326      -0.0348213      -0.0327904     4.93039e-05
             327      -0.0348411      -0.0327966     4.95504e-05
             328      -0.0348585      -0.0328029     4.97964e-05
             329      -0.0348784      -0.0328092     5.00431e-05
             330      -0.0348983      -0.0328156     5.02903e-05
             331      -0.0349207      -0.0328219     5.05389e-05
             332      -0.0349408      -0.0328283      5.0788e-05
             333      -0.0349586      -0.0328347     5.10368e-05
             334      -0.0349764      -0.0328411     5.12853e-05
             335      -0.0350014      -0.0328476      5.1536e-05
             336      -0.0350218       -0.032854     5.17873e-05
             337      -0.0350422      -0.0328605     5.20391e-05
             338      -0.0350603       -0.032867     5.22905e-05
             339      -0.0350785      -0.0328736     5.25416e-05
             340      -0.0350967      -0.0328801     5.27924e-05
             341      -0.0351198      -0.0328867     5.30445e-05
             342      -0.0351405      -0.0328933     5.32972e-05
             343       -0.035159      -0.0328999     5.35496e-05
             344      -0.0351775      -0.0329065     5.38017e-05
             345      -0.0351937      -0.0329131     5.40527e-05
             346      -0.0352147      -0.0329198     5.43043e-05
             347      -0.0352358      -0.0329264     5.45564e-05
             348       -0.035257      -0.0329331     5.48092e-05
             349      -0.0352806      -0.0329399     5.50633e-05
             350      -0.0353019      -0.0329466      5.5318e-05
             351      -0.0353209      -0.0329534     5.55725e-05
             352        -0.03534      -0.0329602     5.58266e-05
             353      -0.0353615       -0.032967     5.60814e-05
             354      -0.0353807      -0.0329738      5.6336e-05
             355      -0.0353976      -0.0329806     5.65895e-05
             356      -0.0354169      -0.0329874     5.68429e-05
             357      -0.0354387      -0.0329943     5.70968e-05
             358      -0.0354582      -0.0330012     5.73506e-05
             359      -0.0354777      -0.0330081     5.76043e-05
             360      -0.0354974       -0.033015     5.78578e-05
             361      -0.0355194      -0.0330219     5.81119e-05
             362      -0.0355439      -0.0330289     5.83675e-05
             363      -0.0355661      -0.0330359     5.86237e-05
             364      -0.0355884      -0.0330429     5.88806e-05
             365      -0.0356083      -0.0330499     5.91373e-05
             366      -0.0356355       -0.033057     5.93961e-05
             367      -0.0356556      -0.0330641     5.96548e-05
             368      -0.0356805      -0.0330712     5.99149e-05
             369      -0.0357031      -0.0330783     6.01756e-05
             370      -0.0357235      -0.0330855     6.04362e-05
             371      -0.0357462      -0.0330927     6.06973e-05
             372      -0.0357691      -0.0330998     6.09591e-05
             373       -0.035792      -0.0331071     6.12214e-05
             374      -0.0358126      -0.0331143     6.14836e-05
             375      -0.0358333      -0.0331215     6.17457e-05
             376      -0.0358541      -0.0331288     6.20077e-05
             377      -0.0358749      -0.0331361     6.22696e-05
             378      -0.0359005      -0.0331434     6.25328e-05
             379      -0.0359215      -0.0331507      6.2796e-05
             380      -0.0359425      -0.0331581      6.3059e-05
             381      -0.0359708      -0.0331655     6.33242e-05
             382       -0.035992      -0.0331729     6.35892e-05
             383      -0.0360132      -0.0331803     6.38542e-05
             384      -0.0360346      -0.0331877     6.41191e-05
             385       -0.036056      -0.0331952     6.43839e-05
             386      -0.0360798      -0.0332026     6.46493e-05
             387      -0.0361061      -0.0332101     6.49161e-05
             388      -0.0361277      -0.0332177     6.51829e-05
             389      -0.0361494      -0.0332252     6.54496e-05
             390      -0.0361736      -0.0332328     6.57169e-05
             391      -0.0361954      -0.0332403     6.59842e-05
             392      -0.0362197      -0.0332479     6.62522e-05
             393      -0.0362441      -0.0332556     6.65208e-05
             394      -0.0362685      -0.0332632     6.67901e-05
             395       -0.036293      -0.0332709       6.706e-05
