#     BLOCK:   ACTUAL_M:     M_AVE:      ERROR:
             533           -0.24       0.0150094       0.0118875
             534           -0.28       0.0144569       0.0118781
             535           -0.16       0.0141308       0.0118604
             536           -0.08       0.0139552       0.0118395
             537            0.08       0.0140782       0.0118181
             538            0.08       0.0142007       0.0117968
             539               0       0.0141744       0.0117749
             540               0       0.0141481       0.0117532
             541           -0.12       0.0139002       0.0117341
             542           -0.16       0.0135793       0.0117168
             543           -0.24       0.0131123       0.0117045
             544           -0.04       0.0130147       0.0116834
             545           -0.08        0.012844       0.0116632
             546            0.04       0.0128938        0.011642
             547            0.08       0.0130165       0.0116213
             548           -0.16       0.0127007       0.0116044
             549           -0.12        0.012459       0.0115858
             550           -0.04       0.0123636       0.0115651
             551           -0.24       0.0119056       0.0115532
             552           -0.16       0.0115942       0.0115365
             553            0.12       0.0117902       0.0115173
             554            0.08       0.0119134       0.0114971
             555            0.16       0.0121802       0.0114795
             556            0.32       0.0127338       0.0114722
             557            0.48       0.0135727       0.0114822
             558            0.48       0.0144086        0.011492
             559            0.44       0.0151699       0.0114967
             560            0.52       0.0160714       0.0115114
             561             0.4       0.0167558       0.0115112
             562             0.4       0.0174377       0.0115109
             563            0.36       0.0180462       0.0115066
             564            0.32       0.0185816       0.0114986
             565            0.24       0.0189735       0.0114849
             566            0.44       0.0197173       0.0114887
             567             0.2       0.0200353       0.0114728
             568           -0.04       0.0199296       0.0114531
             569           -0.24       0.0194728       0.0114421
             570           -0.24       0.0190175       0.0114311
             571            -0.2        0.018634       0.0114175
             572           -0.28       0.0181119       0.0114095
             573            -0.4       0.0173822       0.0114129
             574            -0.4       0.0166551       0.0114161
             575           -0.44       0.0158609       0.0114239
             576           -0.28       0.0153472       0.0114156
             577            -0.2        0.014974       0.0114019
             578           -0.04       0.0148789       0.0113826
             579           -0.16       0.0145769       0.0113669
             580           -0.12       0.0143448       0.0113497
             581           -0.04       0.0142513       0.0113305
             582           -0.12       0.0140206       0.0113134
             583               0       0.0139966        0.011294
             584            0.04       0.0140411       0.0112748
             585               0       0.0140171       0.0112555
             586            0.08       0.0141297       0.0112369
             587           -0.04       0.0140375       0.0112181
             588           -0.32       0.0134694       0.0112134
             589           -0.32       0.0129032       0.0112087
             590            -0.2       0.0125424       0.0111955
             591               0       0.0125212       0.0111766
             592            0.04       0.0125676       0.0111578
             593           -0.16       0.0122766       0.0111427
             594            -0.2       0.0119192       0.0111297
             595           -0.08       0.0117647       0.0111121
             596           -0.08       0.0116107       0.0110945
             597            0.24       0.0119933       0.0110825
             598            0.24       0.0123746       0.0110705
             599             0.2       0.0126878       0.0110565
             600               0       0.0126667       0.0110381
             601           -0.16       0.0123794       0.0110235
             602           -0.32       0.0118272        0.011019
             603           -0.52       0.0109453       0.0110359
             604           -0.16       0.0106623       0.0110213
             605           -0.12       0.0104463       0.0110052
             606           -0.24        0.010033       0.0109948
             607           -0.28      0.00955519        0.010987
             608           -0.16      0.00927632       0.0109725
             609           -0.16      0.00899836        0.010958
             610           -0.28      0.00852459       0.0109503
             611           -0.36      0.00792144        0.010949
             612            -0.4       0.0072549       0.0109513
             613           -0.48      0.00646003       0.0109623
             614           -0.36      0.00586319       0.0109607
             615           -0.36      0.00526829        0.010959
             616           -0.28      0.00480519        0.010951
             617           -0.12      0.00460292       0.0109351
             618           -0.16      0.00433657       0.0109206
             619            -0.2      0.00400646        0.010908
             620            -0.2      0.00367742       0.0108954
             621           -0.08      0.00354267       0.0108786
             622           -0.12      0.00334405        0.010863
             623           -0.12      0.00314607       0.0108473
             624           -0.16      0.00288462       0.0108331
             625           -0.16        0.002624       0.0108189
             626           -0.04      0.00255591       0.0108018
             627           -0.12      0.00236045       0.0107864
             628           -0.04      0.00229299       0.0107694
             629            0.12      0.00248013       0.0107539
             630            0.36      0.00304762       0.0107518
             631            0.32      0.00354992       0.0107465
             632             0.2      0.00386076        0.010734
             633            0.12      0.00404423       0.0107186
             634             0.2      0.00435331       0.0107061
             635            0.16      0.00459843       0.0106921
             636            0.04      0.00465409       0.0106754
             637           -0.08      0.00452119       0.0106595
             638            0.08       0.0046395       0.0106434
             639           -0.16      0.00438185       0.0106299
