#     BLOCK:   ACTUAL_M:     M_AVE:      ERROR:
             293            0.16         0.19959       0.0253686
             294             0.2        0.199592       0.0252823
             295            0.16        0.199458        0.025197
             296           -0.08        0.198514       0.0251295
             297           -0.04         0.19771       0.0250578
             298            0.04        0.197181       0.0249793
             299            0.08        0.196789       0.0248988
             300               0        0.196133       0.0248244
             301           -0.12        0.195083       0.0247642
             302           -0.16        0.193907       0.0247101
             303            0.16        0.193795       0.0246288
             304             0.4        0.194474       0.0245571
             305            0.32        0.194885         0.02448
             306            0.28        0.195163       0.0244016
             307            0.24        0.195309       0.0243226
             308               0        0.194675       0.0242518
             309            0.12        0.194434       0.0241746
             310            0.04        0.193935       0.0241017
             311           -0.08        0.193055       0.0240403
             312           -0.16        0.191923       0.0239899
             313           -0.08        0.191054        0.023929
             314            0.04        0.190573       0.0238576
             315           -0.08        0.189714       0.0237973
             316           -0.04        0.188987       0.0237331
             317            0.04        0.188517       0.0236629
             318            0.16        0.188428       0.0235886
             319               0        0.187837       0.0235221
             320            0.28        0.188125       0.0234503
             321            0.44         0.18891       0.0233904
             322            0.52        0.189938       0.0233404
             323            0.76        0.191703       0.0233347
             324            0.68         0.19321       0.0233113
             325            0.68        0.194708       0.0232877
             326            0.48        0.195583       0.0232327
             327            0.52        0.196575       0.0231828
             328            0.52        0.197561       0.0231331
             329            0.36        0.198055        0.023068
             330            0.24        0.198182       0.0229985
             331               0        0.197583       0.0229368
             332               0        0.196988       0.0228754
             333             0.2        0.196997       0.0228067
             334               0        0.196407       0.0227461
             335           -0.12        0.195463       0.0226978
             336               0        0.194881       0.0226377
             337             0.2        0.194896       0.0225705
             338            0.24         0.19503       0.0225041
             339            0.32        0.195398       0.0224408
             340            0.36        0.195882         0.02238
             341            0.48        0.196716       0.0223299
             342             0.4         0.19731       0.0222725
             343            0.44        0.198017       0.0222188
             344            0.56         0.19907       0.0221791
             345             0.6        0.200232       0.0221452
             346            0.52        0.201156       0.0221005
             347            0.44        0.201844       0.0220475
             348            0.36        0.202299       0.0219889
             349             0.4        0.202865       0.0219331
             350            0.32          0.2032        0.021873
             351            0.24        0.203305        0.021811
             352            0.28        0.203523       0.0217501
             353             0.4        0.204079       0.0216956
             354            0.48        0.204859       0.0216483
             355             0.4        0.205408       0.0215943
             356            0.36        0.205843        0.021538
             357            0.32        0.206162       0.0214801
             358            0.16        0.206034       0.0214204
             359           -0.04        0.205348       0.0213717
             360           -0.12        0.204444       0.0213315
             361           -0.24        0.203213       0.0213079
             362           -0.16         0.20221       0.0212726
             363            -0.2        0.201102       0.0212429
             364            0.04        0.200659       0.0211891
             365           -0.04             0.2       0.0211413
             366           -0.16        0.199016       0.0211064
             367           -0.12        0.198147       0.0210668
             368               0        0.197609       0.0210164
             369           -0.12        0.196748       0.0209771
             370            0.04        0.196324       0.0209247
             371             0.2        0.196334       0.0208683
             372            0.32        0.196667       0.0208148
             373            0.16        0.196568       0.0207593
             374            0.08        0.196257       0.0207061
             375            0.04         0.19584       0.0206551
             376            0.04        0.195426       0.0206043
             377            0.08        0.195119       0.0205519
             378             0.4        0.195661       0.0205047
             379            0.36        0.196095       0.0204552
             380            0.36        0.196526       0.0204059
             381            0.44        0.197165       0.0203623
             382            0.44        0.197801        0.020319
             383            0.48        0.198538       0.0202793
             384            0.52        0.199375       0.0202437
             385            0.64        0.200519       0.0202235
             386            0.52        0.201347        0.020188
             387            0.28         0.20155       0.0201369
             388            0.36        0.201959       0.0200891
             389            0.36        0.202365       0.0200416
             390            0.56        0.203282       0.0200111
             391             0.4        0.203785       0.0199663
             392            0.44        0.204388       0.0199244
             393            0.12        0.204173       0.0198749
             394            0.08        0.203858        0.019827
             395            0.08        0.203544       0.0197792
             396            0.16        0.203434       0.0197296
             397               0        0.202922       0.0196866
             398               0        0.202412       0.0196437
             399             0.2        0.202406       0.0195945
             400            0.16          0.2023       0.0195458
             401            0.08        0.201995       0.0194994
             402            0.24         0.20209       0.0194511
             403             0.2        0.202084       0.0194029
             404            0.24        0.202178       0.0193551
             405            0.52        0.202963       0.0193232
             406             0.2        0.202956       0.0192756
             407            0.28        0.203145       0.0192291
             408            0.28        0.203333       0.0191829
             409            0.36        0.203716       0.0191399
             410            0.44        0.204293       0.0191019
             411            0.52        0.205061       0.0190708
             412            0.44        0.205631        0.019033
             413             0.4        0.206102       0.0189928
             414            0.28         0.20628       0.0189477
             415            0.52        0.207036       0.0189172
             416             0.6        0.207981       0.0188953
             417             0.6        0.208921       0.0188733
             418            0.68        0.210048       0.0188618
             419             0.6        0.210979       0.0188397
             420            0.64           0.212       0.0188225
             421            0.68        0.213112       0.0188106
             422            0.84        0.214597       0.0188246
             423             0.6        0.215508       0.0188021
             424            0.76        0.216792       0.0188016
             425            0.84        0.218259       0.0188145
             426            0.88        0.219812       0.0188343
             427            0.84        0.221265       0.0188461
             428               1        0.223084       0.0188897
             429               1        0.224895       0.0189323
             430            0.92        0.226512       0.0189572
             431               1        0.228306       0.0189979
             432            0.96            0.23       0.0190293
             433            0.76        0.231224       0.0190247
             434             0.8        0.232535       0.0190259
             435             0.8        0.233839       0.0190269
             436            0.68        0.234862       0.0190107
             437            0.56        0.235606       0.0189818
             438            0.28        0.235708       0.0189387
             439            0.44        0.236173       0.0189013
             440             0.4        0.236545        0.018862
             441            0.36        0.236825       0.0188213
             442            0.52        0.237466       0.0187896
             443            0.52        0.238104        0.018758
             444            0.48        0.238649       0.0187237
             445            0.44        0.239101       0.0186871
             446            0.76        0.240269       0.0186816
             447            0.84        0.241611        0.018688
             448             0.8        0.242857       0.0186878
             449            0.52        0.243474       0.0186563
             450            0.52        0.244089        0.018625
             451            0.56        0.244789       0.0185969
             452            0.72        0.245841       0.0185854
             453             0.6        0.246623       0.0185608
             454            0.84         0.24793       0.0185659
             455             0.8        0.249143       0.0185647
             456             0.8        0.250351       0.0185632
             457             0.6        0.251116       0.0185384
             458            0.52        0.251703       0.0185072
             459             0.6        0.252462       0.0184824
             460            0.52        0.253043       0.0184514
             461            0.44        0.253449       0.0184158
             462            0.44        0.253853       0.0183804
             463            0.24        0.253823       0.0183407
             464             0.4        0.254138       0.0183039
             465             0.2        0.254022       0.0182649
             466            0.32        0.254163       0.0182263
             467            0.48        0.254647       0.0181937
             468            0.32        0.254786       0.0181553
             469            0.32        0.254925       0.0181171
             470            0.48        0.255404       0.0180849
             471            0.44        0.255796       0.0180508
             472            0.44        0.256186       0.0180167
             473             0.4         0.25649       0.0179812
             474            0.36        0.256709       0.0179446
             475            0.32        0.256842       0.0179073
             476            0.36        0.257059        0.017871
             477            0.16        0.256855       0.0178347
             478            0.08        0.256485       0.0178012
             479           -0.08        0.255783       0.0177779
             480            0.12          0.2555       0.0177431
             481            0.04        0.255052       0.0177119
             482            0.12        0.254772       0.0176774
             483            0.04        0.254327       0.0176464
             484            0.16        0.254132        0.017611
             485             0.4        0.254433       0.0175772
             486            0.64        0.255226        0.017559
             487            0.48        0.255688        0.017529
             488            0.56        0.256311       0.0175041
             489            0.48        0.256769       0.0174743
             490            0.44        0.257143       0.0174427
             491            0.32        0.257271       0.0174076
             492             0.4        0.257561       0.0173746
             493            0.32        0.257688       0.0173399
             494            0.12        0.257409        0.017307
             495            0.04         0.25697       0.0172776
             496           -0.08         0.25629       0.0172561
             497           -0.04        0.255694       0.0172317
             498           -0.04          0.2551       0.0172073
             499           -0.16        0.254269       0.0171929
             500           -0.12         0.25352       0.0171748
             501           -0.08        0.252854       0.0171535
             502           -0.04        0.252271       0.0171292
             503            0.08        0.251928       0.0170986
             504            0.08        0.251587       0.0170681
             505            0.04        0.251168       0.0170394
             506            0.04        0.250751       0.0170108
             507           -0.28        0.249704       0.0170095
             508           -0.16        0.248898       0.0169951
             509           -0.24        0.247937       0.0169888
             510           -0.24         0.24698       0.0169824
             511           -0.04        0.246419       0.0169585
             512            0.16         0.24625       0.0169262
             513             0.2         0.24616       0.0168934
             514            0.28        0.246226       0.0168607
             515            0.16        0.246058       0.0168288
             516            0.08        0.245736       0.0167993
             517               0        0.245261       0.0167735
             518            0.16        0.245097       0.0167419
             519           -0.04        0.244547       0.0167187
             520            0.04        0.244154       0.0166911
             521            0.28        0.244223       0.0166592
             522             0.2        0.244138       0.0166275
             523            0.12        0.243901       0.0165974
             524             0.2        0.243817        0.016566
             525            0.48        0.244267       0.0165405
             526            0.52        0.244791       0.0165174
             527            0.48        0.245237       0.0164921
             528            0.12           0.245       0.0164626
             529            0.16        0.244839       0.0164322
             530            0.32        0.244981       0.0164018
             531             0.6         0.24565       0.0163846
             532            0.56        0.246241       0.0163644
             533             0.6        0.246904       0.0163472
             534            0.72         0.24779       0.0163405
             535            0.68        0.248598         0.01633
             536             0.8        0.249627       0.0163319
             537            0.88        0.250801       0.0163436
             538            0.84        0.251896       0.0163498
             539            0.84        0.252987       0.0163559
             540            0.68        0.253778       0.0163447
             541            0.56        0.254344       0.0163243
             542            0.32        0.254465       0.0162946
             543            0.48         0.25488       0.0162699
             544            0.44        0.255221       0.0162435
             545            0.12        0.254972       0.0162156
             546            0.04        0.254579       0.0161907
             547            -0.2        0.253748       0.0161824
             548           -0.08        0.253139       0.0161644
             549           -0.04        0.252605       0.0161437
             550            0.04        0.252218        0.016119
             551             0.2        0.252123         0.01609
             552            0.04        0.251739       0.0160655
             553           -0.12        0.251067       0.0160505
             554           -0.12        0.250397       0.0160355
             555            0.04        0.250018       0.0160111
             556            0.28        0.250072       0.0159824
             557            0.32        0.250197       0.0159542
             558            0.52        0.250681       0.0159329
             559            0.44         0.25102        0.015908
             560             0.4        0.251286       0.0158818
             561            0.56        0.251836        0.015863
             562            0.36        0.252028        0.015836
             563            0.32        0.252149       0.0158083
             564            0.28        0.252199       0.0157803
             565            0.36        0.252389       0.0157536
             566            0.44        0.252721       0.0157292
             567            0.52        0.253192       0.0157085
             568            0.68        0.253944       0.0156989
             569            0.84        0.254974        0.015705
             570            0.92         0.25614       0.0157207
             571            0.92        0.257303       0.0157361
             572            0.88        0.258392       0.0157462
             573            0.84        0.259407       0.0157514
             574            0.76        0.260279       0.0157481
             575            0.68        0.261009       0.0157376
             576            0.44        0.261319       0.0157134
             577             0.2        0.261213       0.0156865
             578            0.08          0.2609       0.0156625
             579               0        0.260449       0.0156419
             580            0.08        0.260138       0.0156181
             581               0         0.25969       0.0155976
             582               0        0.259244       0.0155772
             583             0.2        0.259142       0.0155508
             584            0.04        0.258767       0.0155287
             585               0        0.258325       0.0155084
             586             0.2        0.258225       0.0154823
             587            0.08        0.257922       0.0154589
             588           -0.12        0.257279        0.015446
             589           -0.28        0.256367       0.0154467
             590           -0.32         0.25539       0.0154513
             591           -0.24        0.254552       0.0154479
             592            -0.2        0.253784       0.0154409
             593           -0.12        0.253153       0.0154277
             594            0.04        0.252795       0.0154059
             595            -0.2        0.252034       0.0153988
             596           -0.48        0.250805       0.0154219
             597           -0.68        0.249246       0.0154746
             598           -0.44        0.248094       0.0154916
             599           -0.28        0.247212       0.0154908
             600           -0.16        0.246533       0.0154799
             601           -0.24        0.245724       0.0154753
             602           -0.36        0.244718       0.0154822
             603           -0.36        0.243715        0.015489
             604           -0.32        0.242781       0.0154915
             605           -0.32        0.241851       0.0154938
             606           -0.32        0.240924       0.0154959
             607           -0.28        0.240066       0.0154941
             608           -0.44        0.238947        0.015509
             609           -0.48        0.237767       0.0155284
             610            -0.4        0.236721       0.0155381
             611           -0.44        0.235614       0.0155521
             612            -0.6        0.234248       0.0155865
             613           -0.64        0.232822       0.0156262
             614           -0.72         0.23127       0.0156776
             615           -0.52        0.230049       0.0156996
             616           -0.36        0.229091       0.0157033
             617           -0.24        0.228331       0.0156962
             618            -0.2        0.227638       0.0156861
             619           -0.12        0.227076       0.0156709
             620           -0.08        0.226581       0.0156534
             621           -0.48        0.225443       0.0156695
             622           -0.36        0.224502       0.0156725
             623           -0.12        0.223949       0.0156571
             624           -0.24        0.223205       0.0156497
             625            0.04        0.222912       0.0156274
             626            0.12        0.222748       0.0156033
             627            0.32        0.222903       0.0155792
             628             0.4        0.223185       0.0155569
             629            0.28        0.223275       0.0155325
             630            0.24        0.223302       0.0155078
             631            0.04        0.223011        0.015486
             632           -0.04        0.222595       0.0154671
             633            0.04        0.222306       0.0154453
             634            0.12        0.222145       0.0154218
             635             0.2         0.22211       0.0153975
             636            0.32        0.222264       0.0153741
             637             0.4        0.222543       0.0153525
             638            0.48        0.222947       0.0153337
             639            0.16        0.222848       0.0153101
             640            0.04        0.222562       0.0152888
             641            0.12        0.222402       0.0152658
             642            0.12        0.222243       0.0152428
             643             0.2        0.222208       0.0152192
             644             0.2        0.222174       0.0151956
             645             0.4         0.22245       0.0151745
             646            0.32        0.222601       0.0151518
             647             0.4        0.222875       0.0151309
             648             0.2         0.22284       0.0151075
             649            0.24        0.222866       0.0150843
             650            0.44          0.2232       0.0150648
             651            0.52        0.223656       0.0150485
             652            0.36        0.223865       0.0150269
             653            0.36        0.224074       0.0150053
             654            0.48        0.224465       0.0149875
             655            0.52        0.224916       0.0149714
             656            0.36        0.225122         0.01495
             657            0.48         0.22551       0.0149323
             658            0.32        0.225653       0.0149103
             659            0.16        0.225554        0.014888
             660            0.32        0.225697       0.0148661
             661            0.28        0.225779       0.0148439
             662            0.28        0.225861       0.0148217
             663            0.24        0.225882       0.0147993
             664             0.2        0.225843       0.0147771
             665            0.24        0.225865       0.0147549
             666            0.32        0.226006       0.0147334
             667            0.36        0.226207       0.0147127
             668            0.36        0.226407        0.014692
             669            0.24        0.226428       0.0146701
             670            0.16        0.226328       0.0146485
             671            0.12         0.22617       0.0146275
             672            0.12        0.226012       0.0146066
             673            0.12        0.225854       0.0145858
             674            0.08        0.225638       0.0145657
             675             0.2          0.2256       0.0145442
             676            0.28         0.22568       0.0145229
             677             0.4        0.225938       0.0145037
             678             0.2          0.2259       0.0144824
             679            0.28        0.225979       0.0144613
             680            0.36        0.226176       0.0144414
             681            0.12        0.226021        0.014421
             682            0.28          0.2261       0.0144001
             683            0.08        0.225886       0.0143806
             684            0.12        0.225731       0.0143604
             685            0.12        0.225577       0.0143402
             686             0.4        0.225831       0.0143216
             687            0.32        0.225968       0.0143014
             688             0.4        0.226221       0.0142829
             689             0.4        0.226473       0.0142644
             690            0.52        0.226899         0.01425
             691            0.52        0.227323       0.0142357
             692            0.56        0.227803       0.0142233
             693             0.4        0.228052       0.0142049
             694            0.48        0.228415       0.0141891
             695            0.56        0.228892       0.0141767
             696             0.6        0.229425       0.0141663
             697            0.52        0.229842       0.0141521
             698            0.48        0.230201       0.0141364
             699            0.32        0.230329       0.0141168
             700            0.32        0.230457       0.0140972
